Date	Time	Activity	Distance	Duration	WorkoutName	WorkoutType	CompName	CompDist	CompPlace	Shoes	Notes
10/15/2015	16:00:00	Eliptical Trainer	0	50:00.00		Training					After run #2. HR around 150 average. Brief period of 170s, but wasn't feeling it. 
10/16/2015	00:00:00	Running	4.5	00.00	2 x 2 mile 	Workout			0		Very happy with this. Honestly felt only a bit rusty, but very fit. Unfortunately Colin had to stop, he did a 2 mile before I started and his groin was killing him so I did the last 2 on my own. Ran 10:04 for the first 2 mile though I assumed I'd be slow. Felt pretty good and ran 9:48 for the next one, which also felt good.<br /><br /><br />This really makes me want to get in the mini meet. 
10/16/2015	06:25:00	Running	5	35:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	WU/CD. Short warm-up to be sure not to over do it on the leg, but I felt pretty good actually. 
10/17/2015	18:15:00	Running	3	20:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Should have run before work but whatever. Happy to say this was the first pain free run I've had, and the discomfort following was less intense and more brief than it has been. This is good news. Calves are sooo sore, but I'll take it! Once I get through this phase we are good to go! 
10/18/2015	08:15:00	Running	7.5	45:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Farmington Rail Trail with Joe, Alex, Kevin, Kyle, and Austin. Pace picked up as we went and the group strung out at the cornfield. Joe said around 20 min we were at 5:50 pace. Caught up to Alex, and then we let Joe catch back up to decide where to run. I then pushed the pace alone on the way back, I figure since I'm only doing 45 might as well get some speed going. No leg pain, discomfort after is very mild. Legs are pretty sore.<br /><br /><br />Stretch and dynamics after.<br /><br /><br />As good of a first week back as I could have hoped for! What will week 2 bring? 
10/19/2015	07:15:00	Running	3	22:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Alone to SQP and joined the group on the way back. Legs are kind of sore. 
10/19/2015	07:45:00	Core	0	15:00.00		Training					Team core/injury prevention 
10/19/2015	15:15:00	Running	4	28:00.00	Strides 	Workout			0	Asics Gel-Pursue (10/12/2015)	SQP-Track with Brendan and 8 strides on soccer field. Sore again, slow on strides. First legit workout back tomorrow...LETS GOOOO 
10/19/2015	15:45:00	Eliptical Trainer	0	45:00.00		Training					Easy 
10/20/2015	00:00:00	Running	5.5	40:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Fast WU/ Slow CD 
10/20/2015	00:00:00	Running	4	00.00	4 x 1 mile 	Workout			0		Everything I could have wanted, don't sleep on me. Confidence at an all time high, legs pretty sore all around. Went into this knowing I could do 3 if I wanted and with the goal of feeling comfortable.<br /><br /><br />Rep 1: 4:43. Went out relaxed and finished relaxed, sore hamstrings and I feel like I can't reach top speed. Breathing was super easy.<br />Rep 2: 4:44. Again felt relaxed, little harder and was feeling my legs.<br />Rep 3: 4:39. Better than the first 2. Asserted myself and pushed out a bit from the start. Sub 4:40?! Thinking to myself, No way after 3+ weeks of no running am I feeling this good<br />Rep 4: 4:38. Knew I didn't have to do this and considered stopping to take impact off the leg, but I wanted to do it and was confident. Feeling a little more at the end of this, but still not bad!<br /><br /><br />Got to get that rest. Good chance I'll run a conservative mini meet Friday. Let's go! 
10/21/2015	10:30:00	Eliptical Trainer	0	50:00.00		Training					8 hours of sleep plus 1.5 more hours in bed. So nice. HR in 140s for this. 
10/21/2015	15:15:00	Running	5.5	37:44.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	At the Apple Orchard. Went longer than planned, as I brought Joe and Blake to the Southington Open Space trails which were really nice, highschool throwback. Leg discomfort is elevated. 
10/22/2015	15:15:00	Running	3	21:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Leg bothering me today not going to lie. Only did 2 strides because of that. Pumped to race tomorrow. 
10/23/2015	00:00:00	Running	6	40:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Fast WU. Normal pace CD. Inner shin hurts, but good otherwise. 
10/23/2015	15:30:00	Running	3.11	15:19.00	Competition 	Competition	CCSU Mini Meet	5K Cross Country	9		Proved to myself I still got it! Plan was to go out super relaxed which I did. Everyone jumped off the line, while I went out in almost last place feeling nice. Moved up behind Malcolm as we hit the tennis courts and after we came down around the pond I moved up a little, still pretty far back though. On loop 2 I moved up past tons of people and sat with a group behind Ryan and Joe. Held tight in here, and we made up a lot of ground on the front. I had no closing speed, but I know I could've gone way harder if I treated this as a real race. Feels great to be back. NECs baby! All I have to say... 
10/24/2015	08:00:00	Eliptical Trainer	0	50:00.00		Training					Elliptical, HR in the 160s. Inner shin was super sore this morning so playing it safe. 
10/25/2015	10:00:00	Running	3	20:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	With Tyler. My leg hurt so I decided to only do 1 run rather than 2. Was going to do another once I got home, but Kevin reminded me of what I told him once. Its not worth running if it will only hurt you. 
10/26/2015	09:00:00	Running	3	20:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Leg was bothering me on both sides 
10/26/2015	15:15:00	Eliptical Trainer	0	1:00:00.00		Training					Instead of running. HR hit 160s but reduced to 140s the last 25 minutes. 5 days out #BeReady 
10/27/2015	15:15:00	Running	3	20:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Warm up with the team, leg wasn't feeling good on the outside. Inside wasn't sore however so that's a plus. The one part of the weekend that I'm pumped for is the mental aspect. If I get anything out of this it can be to get myself mentally sharper than I've ever been, which is huge. 
10/27/2015	15:40:00	Eliptical Trainer	0	1:04:00.00		Training					Did my workout here instead which was a good move. 6 x 3 min hard 1 min easy, 4 x 30 seconds. No obligation tomorrow morning, and my Thursday morning class got canceled. SLEEP! 
10/28/2015	15:30:00	Eliptical Trainer	0	45:00.00		Training					Was in the mood to just crush this and hit 160's pretty quick, but decided to chill since NECs is this weekend. Leg doesn't feel good, but I don't give a shit about that. Been visualizing the entire race over and over, different scenarios, and how I will mentally react when the going gets tough, which it most definitely will. I am a firm believer that you can train your brain to push harder if you prepare, after all, your brain is like a governor on a car during a race, just preventing you from going faster even though your body is fully capable of going harder. 
10/29/2015	15:45:00	Eliptical Trainer	0	30:00.00		Training					A little elliptical action 
10/30/2015	14:15:00	Running	4.8	31:20.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	Around the course quick with Ryan. Never been so nerve racked for a race in my life. 
10/31/2015	00:00:00	Running	6	40:00.00	Easy Run 	Training			0	Asics Gel-Pursue (10/12/2015)	WU/CD 
10/31/2015	11:00:00	Running	4.98	25:17.00	Competition 	Competition	Northeast Conference Championship	8K Cross Country	5		Well there you have it. I'll say I gave it my best go, and I really shouldn't be too disappointed. Kept myself in very respectable shape off like 80% cross training, this was technically a PR. Went out hard with Ryan, I REALLY REALLY wanted to win. Couldn't hold the pace and fell back to the group of Ferg, Gooding, and Bryce England. Held on and tried to get Gooding, but I couldn't kick on him. Finished and it hit me, this is it, no more chances, its over, and honestly I was a bit sad. I'm not one to get all caught up in that kind of thing though and was fine with it afterwards. We got #7, and the girls got 2nd place which was honestly pretty exciting to see.<br /><br /><br />Not running regionals, just want to get healthy. Also a bit of a bummer, but a smart move none the less. I am capable of big things, I know that, and this mess of a season proves it. I mean I ran 25:17 off almost nothing, that excites me! Just need to actually run and I will attain all my track goals. So hungry for more! The break between Cross and Indoor will feel like an eternity, but it gives me the chance to really work on getting myself ready for PRs from the mile up to the 10k. This year I am for once not dreading the mile, and actually want to knock out my slow 4:26 PR from 2 years ago.<br /><br /><br />Less than 2 weeks until the regional. I'll put all my energy into cheering for that one. 
11/01/2015	00:00:00	Weight Lifting	0	40:00.00		Training					Lift/core. Would like to get back into this again. 
11/01/2015	08:00:00	Eliptical Trainer	0	45:00.00		Training					Legs were feeling the race a bit, so just chilled. 
11/02/2015	15:45:00	Eliptical Trainer	0	50:00.00		Training					Got the HR up to 170 for a bit, but wasn't feeing it so stayed in the 150's. Feeling the weekend a bit still.<br /><br /><br />Had our team meeting. Definitely sucks to not be able to do regionals, but thinking ahead, if I'm going to hit all my big goals, I need to start prepping now. All eyes on January. 
11/03/2015	15:15:00	Eliptical Trainer	0	55:00.00		Training					15 min WU, 10 x 2 min hard 1 min easy, 10 min CD<br /><br /><br />HR in the low 170's max. I can't go easy, I just feel the need to work. Will probably start back with elliptical doubles next week, just keep it relativity short this week for some semblance of a rest week, though I have no desire to rest. I can't wait to be in good shape and able to run the times I know I am capable of. That's when I feel all around the best. Junior year 2nd semester was such a great time, especially during that outdoor season. Everything was great. 
11/03/2015	16:15:00	Weight Lifting	0	30:00.00		Training					Had some extra time. Did core and lifted biceps, triceps, and forearms. Withdrew from a class so now I only have class on Tuesday and Wednesday night. Recovery is going to be on point, hopefully I will be able to start putting in that work after these 2 weeks. 
11/04/2015	15:15:00	Eliptical Trainer	0	1:02:00.00		Training					20 min WU<br />6 x 4 min hard 1 min easy<br />12 min CD<br /><br /><br />Heart rate got into the 180s for the last 3 sets, a hard effort 
11/04/2015	16:20:00	Weight Lifting	0	30:00.00		Training					A few lifts I missed and super set push-ups and pull-ups 
11/05/2015	15:15:00	Eliptical Trainer	0	1:00:00.00		Training					15 min WU<br />10 x 2 min hard, 1 min easy<br />15 min cd<br /><br /><br />HR in the 170's like usual for the hard parts 
11/06/2015	00:00:00	Spinning	0	15:00.00		Training					Capped it off with this. Easy day 
11/06/2015	22:40:00	Eliptical Trainer	0	30:00.00		Training					Elliptical in Sam May. Soooo hot. HR got into the 170s easily during this. 
11/07/2015	00:00:00	Eliptical Trainer	0	45:00.00		Training					Easy session, HR didn't go above 140. Starting a week mental break tomorrow, then back at it if all things are good! 
11/09/2015	15:15:00	Weight Lifting	0	1:10:00.00		Training					Used practice time to get in a real good lift/core session 
11/11/2015	15:15:00	Weight Lifting	0	1:00:00.00		Training					Hit all the other muscle groups today, and core. Will try to keep this up again, and not drop it like I did all season. 
11/16/2015	15:15:00	Running	5.1	36:49.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	First run back. WML to the hill and back. Felt good. Lets keep rolling...cautiously. 
11/16/2015	16:00:00	Eliptical Trainer	0	24:00.00		Training					Went HARD. Got the HR into the 180s. 
11/17/2015	15:15:00	Running	4.3	30:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Run #2. Started off super slow, like 7:45 pace, which again felt super slow. Good stuff though, and we'll keep things moving along. 
11/17/2015	15:50:00	Eliptical Trainer	0	30:00.00		Training					Hard effort, HR in the 170's per usual. 
11/18/2015	15:15:00	Running	5	32:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Morning loop with Hertzog and Eric. Pretty quick. 
11/18/2015	15:50:00	Eliptical Trainer	0	30:00.00		Training					Hard Elliptical. HR 170s like always. 
11/19/2015	15:15:00	Running	5	30:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	With Ryan and Eric 
11/19/2015	15:50:00	Eliptical Trainer	0	30:00.00		Training					HR 170s 
11/21/2015	00:00:00	Running	7	49:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	At IC4As part with Jason 
11/23/2015	00:00:00	Eliptical Trainer	0	30:00.00		Training					HR 160s 
11/23/2015	15:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Pretty much alone, SQP-AW. Serious training starts this week. 
11/24/2015	11:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With Tyler for 30, finished alone 
11/24/2015	11:50:00	Eliptical Trainer	0	25:00.00		Training					Was pretty hungry so my body didn't want to go hard. HR 140s. 
11/25/2015	13:45:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Picked up my custom orthodics and parked at the end of rails to trails near the Cheshire line in Southington. I didn't go there knowing this, but it seems they have finally started to connect both towns bike paths. I ran out on the path where all the brush has finally been cleared for 22 min. It started off terrible and rocky, but got smoother as it went, and once crossing a street was paved dirt which was the nicest running surface I've had in a while. I turned around due to construction vehicles blocking the path, and not wanting to get kicked off. Its about time. 
11/26/2015	10:00:00	Running	7.5	52:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Went to the Manchester Road Race and Jumped in. Ran before and after as well, all continuous. Fast at points, and slow at points. 
11/27/2015	00:00:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Before work on Black Friday. Was able to go shirtless which is crazy this late in November.Ran in SQP and AW. 
11/28/2015	18:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Met Joe after work and did WML. Feeling good. 
11/29/2015	18:30:00	Running	7	49:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Around campus area after work. Over 40 miles this week. Up we go! 
11/29/2015	19:30:00	Core	0	35:00.00		Training					Core and strengthening after the run. 
11/30/2015	15:15:00	Running	6.5	45:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	SQP-AW with Julio. Relaxed.8 strides on the track.<br /><br /><br />Keeping the mileage low. Staying around 45 this week, and raising 5 miles per week, planning to hit 70 around the beginning of preseason. Keeping with elliptical to get my normal workouts to 70 min total. Doubles of elliptical will be added in. 
11/30/2015	16:15:00	Eliptical Trainer	0	25:00.00		Training					HR up to 166, harder to go hard when you are also running 
12/01/2015	15:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With the group working out for a bit, but most with Alex. Feel nice. Ran a sub 6 mile on the track once Alex left me. 
12/01/2015	16:10:00	Eliptical Trainer	0	25:00.00		Training					Went hard, got the HR to 182 at the end, but I pushed for that 
12/02/2015	14:10:00	Weight Lifting	0	45:00.00		Training					Back on the lifting 
12/02/2015	15:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	WML with Kevin and Alex. Feel like I'm in good shape, and I like it a lot. 
12/02/2015	16:15:00	Eliptical Trainer	0	25:00.00		Training					Up to high 170s 
12/03/2015	15:15:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With Bert. SQP-AW. Legs feel quick. 
12/03/2015	16:10:00	Eliptical Trainer	0	25:00.00		Training					HR 150's, wasn't feeling it today 
12/04/2015	11:15:00	Running	4.5	30:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Easy day, not slow though. Happy to have a run alone for once, always nice every now and then. 
12/05/2015	00:00:00	Running	3	00.00	Easy Run 	Training			0		Mentally out of it, need to get my mind on track...literally 
12/06/2015	20:30:00	Running	8	56:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Ran later at night. Used Kevin's GPS watch for 25 minutes and could not stand it so I went home and got my regular watch. 
12/06/2015	22:00:00	Core	0	35:00.00		Training					Wanted to do more exercise so I did some late night core 
12/07/2015	13:00:00	Weight Lifting	0	50:00.00		Training					Lift/core round 1 
12/07/2015	15:15:00	Running	7.5	50:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Quick SQP-AW with Brendan, Tyler, and Alex.<br /><br /><br />8 strides on the track 
12/07/2015	16:25:00	Eliptical Trainer	0	20:00.00		Training					HR 170's 
12/08/2015	15:15:00	Running	7.5	50:48.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Tired today, not as much legs as in general. Legs also a bit sore today. With Kyle, and briefly with Kevin and Alex. 
12/08/2015	16:15:00	Eliptical Trainer	0	20:00.00		Training					HR 170s 
12/09/2015	14:15:00	Weight Lifting	0	40:00.00		Training					Arms, got a good forearm set down now. 
12/09/2015	15:15:00	Running	7.5	50:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	With Brendan. Little quicker, but I felt really good today. SQP-AW-Track.<br /><br /><br />8 strides 
12/09/2015	16:25:00	Eliptical Trainer	0	20:00.00		Training					Had to go to Sam May because everyone is copying me and hitting the elliptical (sarcasm if you can't tell). HR 170s. 
12/10/2015	15:15:00	Running	7.5	50:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Golf course and SQP with Joe, Kyle, Tyler, Derek, and Austin 
12/10/2015	16:15:00	Eliptical Trainer	0	20:00.00		Training					HR 150's 
12/11/2015	13:20:00	Core	0	20:00.00		Training					Core at home 
12/11/2015	14:00:00	Running	7.5	50:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With Tyler since no one else showed up at 2. SQP-AW. 
12/12/2015	08:15:00	Running	5	35:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	WML solo before work 
12/13/2015	20:30:00	Running	8.5	1:00:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Late run with Brendan, and the most enjoyable run I've had in a while, felt so smooth and enjoyed our conversation. 
12/14/2015	17:30:00	Running	8.5	1:00:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Hour run will be the norm for the week. Still get some feeling in my right leg sometimes, but it never amounts to anything which is obviously good. Worries me just a little sometimes.<br /><br /><br />Ran 2 laps on the track and on the golf course in the dark which was pretty awesome for some reason. 
12/15/2015	21:20:00	Running	9.7	1:05:24.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Started with Brendan and ran around campus. Finished 20 min with Tyler Renfro. Felt great tonight! 
12/16/2015	09:00:00	Running	9.1	1:00:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With Tyler golf course, football field, track, campus loop. Quick, felt good though, and finals are done! 
12/17/2015	14:15:00	Weight Lifting	0	45:00.00		Training					Lift #1 with Tyler. Moved quicker with him there. Keeping with body weight squats and lunges in there too now. 
12/17/2015	15:15:00	Running	9.2	1:00:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Nice group of me, Tyler, Dave, Ben, Roberto, Julio on and off, and briefly Alex. We were moving quick again today, though I continue to feel good. 
12/18/2015	11:00:00	Weight Lifting	0	50:00.00		Training					Lift #2, arm day/ core. This is the day with single leg squats and side lunges 
12/18/2015	16:30:00	Running	9.1	1:00:31.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Full bus path loop with Tyler. Fast again, hit a 6:08 on the bus path. Feeling all around good though, so no complaints. Tyler noticed that my footfalls are quiet now, so my work is paying off on this. 
12/19/2015	19:00:00	Running	5.2	35:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	With Tyler, started off relaxed and got faster as we went 
12/20/2015	20:30:00	Running	9.3	1:05:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Finally had a run to myself! Around school, WML area, and along part of the golf course. Definition of easy, and I am completely fine with that! 
12/21/2015	08:30:00	Running	6.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Easy, legs were tired and achy. Will make up for this with a legit long run this weekend, or week. I'll be in South Carolina Wednesday-Monday, and its supposed to be 75-80 almost the entire time. 
12/22/2015	21:15:00	Running	9	1:03:34.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Weaving through and around campus, Barbour loop, WML, back to Oak. Leaving st 3:00 am for the airport. 
12/23/2015	16:15:00	Running	9	1:03:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Arrived in South Carolina, got 1 hour of sleep. Checked out the new house and neighborhood, talked to my family, and took a 1 hour nap before heading out to run. Ran around the huge golf course that surrounds the neighborhoods, but wasn't able to cover all of it. Warm at 73 degrees and humid, soooooo nice. It's nice around here, need to venture out to the beach and other places in the upcoming days. 
12/24/2015	15:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	What an awesome day, I love Beaufort County South Carolina. Checked out my brothers new school,USC Beaufort, the May River, and Hilton Head beach today. Will have to revisit the beach and river before I leave Monday.<br /><br /><br />The run was great too. Hit almost 80 today. Did the golf course part I missed yesterday, and ran through all the neighborhoods in the gated community. Stopped at a marsh to watch all the hermit crabs scuttle about. Love running with all the Palmetto trees and Spanish Moss, feels so tropical. I would 100% live here if I had friends here,and could have a social life. Also not too sure about the job market. Great place to live when you are all settled/retired for sure. 
12/25/2015	14:30:00	Running	11	1:17:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Left the gated community today and ran to Old Town Bluffton, and the May River. The river is only about a 20 minute run away. Went to the dock my dad had brought me too yesterday, and using the maps around town found 2 more spots, though I only checked out 1 as I had to head back. Sunny and high 70s. This run made me happy. I'm going to try to get up early tomorrow, maybe catch the sunrise and read part of a book I got as a gift. We'll see if I can actually get up. 
12/26/2015	14:30:00	Running	13	1:30:00.00	Long Run 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Ran at the beach on Hilton Head Island. Super foggy today, never seen fog so thick. Never been to a beach with packed sand I could run on. Very nice, ran out 45 by the water, back 45 by the houses. High 70s for temp.<br /><br /><br />*Continuation from yesterday's post, I did not get up early enough...predictable 
12/27/2015	13:15:00	Running	7.5	54:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Ran down to what I thought was another entrance to the May River, but was actually a private drive way...bummer. Went out and back. Was 79 degrees and sunny, not used to this, but much better than the cold I am about to go back to tomorrow. I love this place, and seeing my family was great, but I have business to take care of back in CT. May be back in March if we don't have spring break practice, but I will surely be back in the summer when there will be a lot more going on.<br /><br /><br /><br />
12/28/2015	07:45:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Nice early run, 70 degrees and sunny. Full golf course which took forty five min about, added an out and back in a new neighborhood, finished home. Wishing I could stay another week. Legs felt snappy for once. 
12/29/2015	00:00:00	Running	5	30:00.00	Fartlek 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Morning Fartlek in the bubble. Bunch of people doing different stuff. Joe, Dave, Katie Matthews, Dan Nestor, Alex, Ben Joyce, Brian Graca, and Kevin.<br /><br /><br />Did 10 2 min hard 1 min easy. First 5 with Joe, 2nd 5 alone, though Kev was doing the same thing too. First reps at 5:04 pace or so, but took it down to about 5:15 pace for the majority. Felt real good, though rusty as was expected. Need to get used to fast stuff again.<br /><br /><br />WU outside, and 15 min of CD inside, 6 outside. 
12/30/2015	07:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Slater-Batterson with Kev, he did 60, I did 70. Early run #1. 
12/31/2015	07:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Early run #2 with Kev again. Bus path-Walnut hill-Stanley st 
01/01/2016	16:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Mostly with Brendan and Alex, and some with Joe, Kevin, Colin, and Jason. Pace more toward 6:30s, but feeling good. 
01/01/2016	17:45:00	Core	0	30:00.00		Training					Great core session 
01/02/2016	16:30:00	Running	7	47:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Easy day with Dave, Brendan, Alex, and Tyler. Barbour Rd loops and WML. 
01/03/2016	08:15:00	Running	15	1:45:00.00	Long Run 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Long run at WHR with Alex, Tyler, and Kevin. Legs were not warmed up for a while so I dropped back from everyone for the first 50 min or so, then started to feel really good, and picked up the pace to chase down Kev and Tyler. I slowed down and finished the remainder with them.<br /><br /><br />Over 70 this week for the first time since preseason I think. 
01/04/2016	15:00:00	Running	10.8	1:10:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Fast run with Dave, Alex, and Tyler. Part with Brendan, Derek, and Kevin. Would have run more relaxed alone, but hey, whatever.<br /><br /><br />8 strides 
01/05/2016	00:00:00	Running	6	40:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	WU/CD 
01/05/2016	09:00:00	Running	9	00.00	20 x 400, 4 x 200 	Workout			0	Nike Zoom Streak LT 2 (01/01/2016)	Back in it with a pretty legit workout. Had Alex to work with which was awesome. He lead evens and I lead odds.<br /><br /><br />16 x 400 on the outdoor track:<br />76,72,73,72,72,72,71,72,72,74,73,74,72,75,71,71<br />Ran back to the bubble<br />4 x 400 in bubble<br />69,71,71,70<br />4 x 200 in bubble<br />32,30,31,30<br /><br /><br />Felt better as we went honestly, so this is a good starting benchmark. Time to really get on everything these final 2 seasons. 
01/05/2016	15:30:00	Eliptical Trainer	0	30:00.00		Training					HR got up to low 180s, so I went hard as you can tell. Think hard elliptical will remain a big key to success this season. 
01/05/2016	16:10:00	Core	0	20:00.00		Training					Ab up and outs, 25 push-ups, front, side, and back planks, squats, lunges, and 10 pull-ups, hip raises x 2 
01/06/2016	09:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (11/16/2015)	Finally people wanted to go easy like I was hoping. Stayed in back to make sure I did not effect pace. Walnut hill. 
01/06/2016	15:30:00	Eliptical Trainer	0	30:00.00		Training					HR 170's. Doing 8 min hard 2 min easy. 
01/06/2016	15:30:00	Core	0	25:00.00		Training					2 sets of physio ball planks x 10, push-up x 20, 3 types of fire hydrant x 10, flutter kick x 45 sec, wide push up x 20, single leg squat x 10, side lunges x 10 each side, pull-up x 10, narrow push up x 20, 3 superman variations x 10 each 
01/07/2016	09:00:00	Running	10	1:10:00.00	Strides 	Workout			0	ASICS Gel-Pursue (11/16/2015)	Hung back from the group to go my own easy pace again, because my legs wanted it. East St-Walnut Hill.<br /><br /><br />8 strides on Kaiser Dr 
01/07/2016	15:30:00	Eliptical Trainer	0	30:00.00		Training					HR 170s...usual 
01/07/2016	16:05:00	Weight Lifting	0	30:00.00		Training					Core/chest/back 
01/08/2016	15:30:00	Running	7.5	45:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (01/09/2015)	Easy day, morning loop + woods and pond 
01/09/2016	00:00:00	Running	4.5	00.00	Tempo Run 	Workout			0	ASICS Gel-Pursue (01/09/2015)	Tempo in the graveyard, kind of with Griffin, though I dropped him quickly (not hating on him) better than the race, still fatigued though. 
01/09/2016	00:00:00	Running	6	40:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (01/09/2015)	WU/CD 
01/09/2016	12:20:00	Running	1	4:28.00	Competition 	Competition	Yale 	Mile Run	5		Bad, no surprise. Started off with a 31, and 62 then died off. 2:10, 2:18 positive split. Training continues. BU 5k in 3 weeks is my big benchmark. 
01/09/2016	19:15:00	Core	0	25:00.00		Training					Right after getting home from the meet. Core with push-ups and pull-ups. 
01/10/2016	08:30:00	Running	16.8	1:45:00.00	Long Run 	Workout			0	ASICS Gel-Pursue (01/09/2015)	Early long run with Joe, Kevin, and Jason. Jason did 30, and Joe did 65ish. Kevin started slower, and I picked him up at about 50 min, then we turned and I actually felt good and decided to fast finish back. Pace for this was about 6 flat if not a little faster. Neg split the way back by 6.5 min. 
01/11/2016	09:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (01/09/2015)	Another day another run. Bit tired today but it is as I'd expected. I feel like I am more in this now than I have ever been. All I want is success. 
01/11/2016	15:30:00	Eliptical Trainer	0	30:00.00		Training					HR 170's 
01/11/2016	16:00:00	Core	0	1:00:00.00		Training					An hour plus of lifting/core/and stretching. Quality. 
01/12/2016	00:00:00	Running	6	41:00.00	Easy Run 	Training			0	ASICS Gel-Pursue (01/09/2015)	WU/CD 
